ds,yhat,yhat_lower,yhat_upper,actual
2013-01-07,397467.175212207,281402.7571633529,524474.2478816619,336122.801066
2013-01-08,341054.2551700355,211427.99753458245,471581.7644408252,318347.777981
2013-01-09,355746.06028111605,223947.196632306,490528.2954407515,302530.809018
2013-01-10,259284.64880063583,117427.96495563598,393047.83966844366,258982.003049
2013-01-11,324605.8561119331,196782.8926355512,455208.29530264094,289737.6850845
2013-01-12,507936.72831360786,388964.21455960267,638923.1947425073,403258.2120105
2013-01-13,552329.7476285964,433353.31936573447,684422.6856139335,464638.547998
2013-01-14,336363.2602088831,210986.89651180018,451689.2008200901,293348.362078
2013-01-15,284276.85270880256,150190.48652334008,411767.18843216967,299129.549954
2013-01-16,307592.942277034,185645.38949131686,446532.8792419481,318347.913946
2013-01-17,218683.83512656466,87291.74340555714,344474.75959773484,267498.5159755
2013-01-18,291274.1042222812,148679.33711840506,421967.1377454592,296130.850028
2013-01-19,481103.8029025827,348518.89367359376,602042.1952046175,432459.852021
2013-01-20,531683.3534718258,395925.8126459554,658443.8833083247,461092.386047
2013-01-21,320231.0202884501,182805.90605815387,451931.89139931736,311211.26595000003
2013-01-22,276055.7754142256,143816.28486348892,404280.00827779586,296214.728983
2013-01-23,300141.4249415566,172603.01967698688,427433.21025707014,283258.4530325
2013-01-24,213342.20376857376,87437.82526087662,333792.5710712124,247245.690995
2013-01-25,288360.9230265681,171892.0956484844,414433.6301627139,290022.77193
2013-01-26,480397.85836249264,346433.2234190221,619237.517936487,413799.7679753
2013-01-27,532374.4627847484,411735.40033425426,653349.5269140323,430411.991233
2013-01-28,322995.5484715559,198690.20336701933,449637.9011819992,285460.169953
2013-01-29,280862.2399648119,150506.41480847006,407515.5666896938,264488.81807649997
2013-01-30,306674.26110880176,179515.17606104724,427533.992006989,281061.127052
2013-01-31,217319.38457503344,82956.49114408632,353997.7545157969,271254.217996
2013-02-01,290435.31227208197,162241.84453416863,413751.1432906886,369402.055266
2013-02-02,480160.55215141375,353878.37629010936,606818.6942506125,518887.462705
2013-02-03,529554.833284519,404313.12904722954,656478.602558712,486336.82018
2013-02-04,313692.7074758277,187788.30818615708,444386.2435748024,344308.715017
2013-02-05,266615.7413404527,135043.24024832793,393232.9265034291,321245.83913
2013-02-06,288691.15655651444,156679.63070759445,407583.7742232417,321538.177149
2013-02-07,196432.11256180343,63526.2884791216,334774.2410287805,290807.530973
2013-02-08,267587.4842797483,142623.5011238567,387662.0216007947,347441.789912
2013-02-09,455680.44267828687,332637.2634011943,579889.826110475,416176.2790747
2013-02-10,503965.0840950632,370320.1968134136,642241.9664977897,300951.328993
2013-02-11,346268.89548994193,217160.25600237356,468124.75250845304,278627.588926
2013-02-12,299310.9781048039,169537.4675082568,426407.1217144731,308800.7909121
2013-02-13,267774.164111943,133349.39311536195,404955.66876474477,319597.929962
2013-02-14,178570.18417184963,56808.5946237552,304109.11871334835,308164.016957
2013-02-15,249613.4645917699,114374.89692721835,379282.9072737307,320168.883912
2013-02-16,440458.0640127552,302015.5994687992,568218.3436256404,485660.494008
2013-02-17,492070.36287783773,368406.08035637176,620950.758849874,399588.910014
2013-02-18,281812.2371334998,158556.6055406024,418515.3460855064,350745.573191
2013-02-19,239602.52560269093,106025.53316876895,365449.4298789331,293637.801951
2013-02-20,264235.8462403639,130334.0468115867,386827.9558694373,313803.162034
2013-02-21,175421.88188488153,46381.81988376706,298826.729030743,267711.1090155
2013-02-22,254426.20184469924,121332.46823272595,376444.8047263216,285679.869131
2013-02-23,450130.0448666203,319805.5555342908,577744.1571515684,412897.349113
2013-02-24,506457.24024103256,377037.76127984776,633297.7965382539,452726.126103
2013-02-25,299955.8636993955,178523.26057129508,424252.5086308695,307110.875933
2013-02-26,260268.35391385612,129215.31864779425,383843.8262327479,270425.0070675
2013-02-27,292132.85168487165,155362.88971375505,424768.6984699604,288401.998919
2013-02-28,208774.57040848164,77967.92376824161,342807.39232995955,278116.291888
2013-03-01,287150.7949788115,151474.32914454694,414668.18025577784,378898.165064
2013-03-02,484547.18778438226,344996.83681881725,618555.3931336818,547857.205258
2013-03-03,541822.6533017535,409299.98469889886,677099.2596537438,559820.580027
2013-03-04,335135.76842658815,205856.23293273608,460072.71428776666,383647.679097
2013-03-05,296433.729893209,170774.5818933664,418662.12333750294,332189.993189
2013-03-06,325816.87296713504,197236.9152446722,466560.9445558154,335726.580968
2013-03-07,243818.34238648688,104171.17695351748,381388.06866866205,293099.52701
2013-03-08,322757.57108266524,185602.4548836103,446280.9152181565,316600.679967
2013-03-09,516819.2395838214,386554.92873665324,641645.4986502245,453259.496866
2013-03-10,570242.8268418363,436213.96568575565,694270.75981015,461859.756153
2013-03-11,360454.21132282057,222730.3261224415,484821.76918311813,318379.133021
2013-03-12,316463.4118029947,187490.9860957445,442615.6190035923,271823.37801
2013-03-13,341852.3845499393,215769.53236100424,467971.00682685274,287869.663972
2013-03-14,254043.86315916682,119419.27452301387,384512.77618861,247541.420096
2013-03-15,328073.3641817963,197696.2214804416,455706.04328452714,315878.090213
2013-03-16,517394.7481713456,392058.848980303,646127.3538534311,482233.433961
2013-03-17,566317.3091360593,440870.44010005135,698078.6873294465,513439.584913
2013-03-18,352658.3084997988,209610.88422488808,488380.9981645813,330283.80303
2013-03-19,301924.44437749474,170226.11328601043,424682.83985372167,294020.245897
2013-03-20,325430.577556398,197978.82389857603,443625.9905069767,321207.006946
2013-03-21,232543.47669179807,99572.82172416415,364216.9400386152,269130.127953
2013-03-22,305396.4951850069,174924.2467739336,437923.2880963598,304100.453969
2013-03-23,493275.5030186389,364341.4788780911,620415.5408126452,453192.003086
2013-03-24,541397.8105157693,411481.836069117,670333.5585230051,449794.636951
2013-03-25,329259.3522814227,184287.28927893372,459103.7960256116,317559.6099585
2013-03-26,283937.2826007012,155626.29233166476,412249.0526713491,275818.2359
2013-03-27,308041.57389374275,170592.70150182128,445204.2926856668,313691.148998
2013-03-28,219368.22208154347,90258.40868714139,355072.6826935837,339293.269022
2013-03-29,292473.15912289126,153390.86002038806,424531.39609959093,345513.132
2013-03-30,482721.7953188398,341480.53796061606,610159.4377585972,452661.356036
2013-03-31,533506.5530610419,404193.6818003216,664918.8359186383,462107.639956
2013-04-01,321888.26791343064,188420.32140117855,451086.9775453582,428816.447912
2013-04-02,277141.1690946571,145473.07303427643,413394.4304170153,377732.827961
2013-04-03,299198.5694447438,172614.09476897755,433159.5149367014,373731.0758793
2013-04-04,208916.47688626734,75463.73595015441,333237.6234530835,308738.385963
2013-04-05,283860.5919969005,164497.09360203941,409244.41788285866,336394.782031
2013-04-06,476623.7194181002,344901.0572080364,602635.1552601022,509424.214023
2013-04-07,529611.9076248531,405565.4635130537,667890.9491069947,519048.376884
2013-04-08,321182.29280309775,192813.5788981676,448742.47784002306,346649.815943
2013-04-09,279114.6285417308,154230.88739521956,407648.8779113404,306335.8019617
2013-04-10,306936.03214778943,174527.65200387553,433348.7296373703,312846.374941
2013-04-11,218264.4008716721,89365.73493458805,343711.7607542115,303223.41301
2013-04-12,290092.1375144991,153659.7646473194,415538.18056865025,314394.967035
2013-04-13,482404.20237630996,360119.4302941018,609130.0266755257,453442.497048
2013-04-14,534496.2412114857,395673.0174333357,664715.9299036525,478417.148813
2013-04-15,319117.7519162086,186190.39102256644,453607.05596484843,338712.458055
2013-04-16,273841.88538126176,134052.07024270904,403469.41162853857,333431.880049
2013-04-17,295125.52644727676,160912.42068344902,419765.82991003635,334990.518942
2013-04-18,208504.920812262,78057.17987977393,337082.03460115456,281924.509951
